price,property_type,bedrooms,bathrooms,total_rooms,living_area,land_area,construction_year,neighborhood,city,climatisation,parabole_tv,pool,handicapped_access,parking,garage,garden,fireplace,interphone,terrace,electric_heating,elevator,alarm_system,internet_access,sea_view,furnished,central_heating,kitchen_equipped
800000.0,Appartement,3,,3,0.0,0.0,,Le Kram,Tunis,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
130000.0,Appartement,3,1,,0.0,0.0,,El Mourouj,Ben Arous,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
250000.0,Appartement,3,3,3,150.0,98.0,,Bizerte Nord,Bizerte,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
165000.0,Appartement,2,1,1,120.0,0.0,,Sousse Riadh,Sousse,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1
190.0,Appartement,2,1,3,76.0,96.0,,Ettahrir,Tunis,0,0,1,1,0,1,1,1,0,0,1,1,1,1,1,0,0,0
256200.0,Appartement,2,1,,91.0,0.0,2025.0,Mahdia,Mahdia,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
250000.0,Appartement,2,1,,160.0,0.0,,Mahdia,Mahdia,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,0,1,1
2000.0,Appartement,2,1,3,120.0,0.0,,Hammamet,Nabeul,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,1
160000.0,Appartement,3,2,4,107.0,121.0,2018.0,Sakiet Eddaïer,Sfax,1,0,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1
315000.0,Appartement,,,,0.0,0.0,,Jardins D'el Menzah,Ariana,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
250000.0,Appartement,2,1,3,121.0,121.0,2017.0,Medina Jedida,Ben Arous,1,0,1,1,1,0,1,1,0,1,1,0,1,0,1,1,0,0
320000.0,Appartement,2,1,3,93.0,0.0,,Dar Ch'abane El Fehri,Nabeul,0,0,0,0,0,0,0,1,0,0,1,1,0,1,1,1,0,0
375000.0,Appartement,2,1,2,113.0,113.0,,La Soukra,Ariana,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
320000.0,Appartement,,,,98.0,0.0,,Monastir,Monastir,0,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,0
202000.0,Appartement,2,1,3,101.0,0.0,2022.0,Mahdia,Mahdia,0,1,1,1,1,1,1,1,0,0,0,0,1,1,1,1,1,0
320000.0,Appartement,6,3,9,270.0,100.0,,Hammamet,Nabeul,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
140000.0,Appartement,2,1,,0.0,0.0,,Sousse Jawhara,Sousse,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
820000.0,Appartement,4,1,5,253.0,253.0,2017.0,La Soukra,Ariana,0,1,0,1,0,1,1,1,1,0,1,0,0,0,1,1,0,0
930000.0,Appartement,4,4,,230.0,0.0,,Mrezga,Nabeul,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
290000.0,Appartement,3,2,,108.0,0.0,,Medina Jedida,Ben Arous,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
120000.0,Appartement,2,1,,70.0,0.0,,Radès,Ben Arous,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
190000.0,Appartement,2,1,,77.0,0.0,,Radès,Ben Arous,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
200000.0,Appartement,2,1,,77.0,0.0,,Radès,Ben Arous,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
100000.0,Appartement,2,1,,76.0,0.0,,Radès,Ben Arous,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
240000.0,Appartement,,1,1,45.0,0.0,2015.0,La Goulette,Tunis,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,0
365000.0,Appartement,3,1,4,157.0,0.0,,Jardins D'el Menzah,Ariana,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2300000.0,Appartement,4,3,10+,250.0,130.0,,Hammam Sousse,Sousse,0,1,0,1,1,1,1,1,1,0,0,0,1,1,0,1,1,1
635000.0,Appartement,3,2,7,120.0,270.0,,Sousse Jawhara,Sousse,0,1,1,1,0,0,0,1,1,0,1,1,1,1,1,0,0,0
365000.0,Appartement,2,,2,163.0,163.0,,Nabeul,Nabeul,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2600.0,Appartement,2,,2,118.0,118.0,,El Mourouj,Ben Arous,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1
290000.0,Appartement,3,1,3,93.0,0.0,,Centre Ville - Lafayette,Tunis,0,0,1,1,1,1,1,1,0,1,1,1,1,1,1,0,0,0
400000.0,Appartement,1,1,1,163.0,163.0,,Aïn Zaghouan,Tunis,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
